	$W28$	&	-0.26	&	0.91	&	0.54	&	0.61	&	1.47	&	0.65	&	0.56	\\
	$W29$	&	-2.19	&	-1.31	&	-1.87	&	-0.54	&	-0.14	&	-1.21	&	0.77	\\
	$W30$	&	4.56	&	6.05	&	5.81	&	5.09	&	6.88	&	5.68	&	0.80	\\
	$W31$	&	7.54	&	7.66	&	11.60	&	9.10	&	9.41	&	9.06	&	1.47	\\
	$W32$	&	6.43	&	6.16	&	3.10	&	3.80	&	3.99	&	4.69	&	1.34	\\
	$W33$	&	-6.99	&	-8.73	&	-7.72	&	-6.74	&	-8.60	&	-7.76	&	0.81	\\
	$W34$	&	9.26	&	8.71	&	5.36	&	5.73	&	6.07	&	7.03	&	1.62	\\
	$W35$	&	-2.69	&	-2.75	&	-2.54	&	-2.90	&	-2.97	&	-2.77	&	0.15	\\
	$W36$	&	0.11	&	0.09	&	0.10	&	0.03	&	0.04	&	0.08	&	0.04	\\
	$W37$	&	3.37	&	3.71	&	2.45	&	2.19	&	2.67	&	2.88	&	0.57	\\
	$W38$	&	0.00	&	0.00	&	0.00	&	0.00	&	0.00	&	0.00	&	0.00	\\
	$W39$	&	0.61	&	0.61	&	0.66	&	0.59	&	0.56	&	0.61	&	0.03	\\
	$W40$	&	-0.08	&	0.06	&	-0.12	&	0.02	&	-0.18	&	-0.06	&	0.09	\\
	$W41$	&	0.07	&	-0.14	&	-0.08	&	0.15	&	-0.13	&	-0.03	&	0.11	\\
	$W42$	&	0.23	&	-0.05	&	0.11	&	0.02	&	-0.04	&	0.06	&	0.10	\\
	$W43$	&	0.44	&	0.06	&	0.23	&	0.17	&	0.13	&	0.20	&	0.13	\\
	$W44$	&	0.28	&	-0.06	&	0.21	&	0.20	&	-0.12	&	0.10	&	0.16	\\
	$W45$	&	0.30	&	0.02	&	0.05	&	0.09	&	0.00	&	0.09	&	0.11	\\
	$W46$	&	0.00	&	-0.02	&	0.04	&	-0.04	&	-0.11	&	-0.02	&	0.05	\\
	$W47$	&	-0.14	&	-0.07	&	-0.22	&	-0.27	&	-0.18	&	-0.18	&	0.07	\\
	$W48$	&	-0.09	&	-0.08	&	0.08	&	0.03	&	0.02	&	-0.01	&	0.07	\\
	$W49$	&	-0.05	&	-0.09	&	0.09	&	-0.24	&	-0.02	&	-0.06	&	0.11	\\
	$W50$	&	0.11	&	0.12	&	0.18	&	0.03	&	-0.13	&	0.06	&	0.11	\\
	$W51$	&	-0.20	&	-0.15	&	-0.08	&	0.02	&	-0.33	&	-0.15	&	0.12	\\
	$W52$	&	-0.32	&	-0.23	&	-0.24	&	-0.25	&	-0.32	&	-0.27	&	0.04	\\
	$W53$	&	-0.22	&	-0.01	&	-0.05	&	-0.22	&	-0.27	&	-0.15	&	0.10	\\
	$W0$	&	6.16	&	6.30	&	6.25	&	6.00	&	6.28	&	6.20	&	0.11	\\
